date,ZoneCode,city,temp_max_f,temp_min_f,temp_mean_f,feels_like_max_f,feels_like_min_f,wind_max_mph,precip_total_in,rain_in,snow_in,temp_range_f,temp_category,had_precipitation,had_snow
2020-01-01,COAST,Houston,60.2,47.4,54.0,58.1,41.9,13.1,0.343,0.343,0.0,12.800000000000004,Mild (50-70°F),1,0
2020-01-02,COAST,Houston,68.4,57.4,62.2,69.8,58.6,13.2,0.772,0.772,0.0,11.000000000000007,Mild (50-70°F),1,0
2020-01-03,COAST,Houston,65.8,53.2,58.8,62.7,48.1,15.0,0.0,0.0,0.0,12.599999999999994,Mild (50-70°F),0,0
2020-01-04,COAST,Houston,64.8,42.1,53.5,59.5,36.8,14.3,0.0,0.0,0.0,22.699999999999996,Mild (50-70°F),0,0
2020-01-05,COAST,Houston,70.2,45.8,56.8,65.2,41.5,11.5,0.0,0.0,0.0,24.400000000000006,Mild (50-70°F),0,0
2020-01-06,COAST,Houston,72.4,53.0,61.3,70.3,50.3,10.3,0.0,0.0,0.0,19.400000000000006,Mild (50-70°F),0,0
2020-01-07,COAST,Houston,62.8,47.2,56.5,58.6,39.7,11.2,0.004,0.004,0.0,15.599999999999994,Mild (50-70°F),1,0
2020-01-08,COAST,Houston,66.1,40.3,53.9,59.5,34.8,17.5,0.0,0.0,0.0,25.799999999999997,Mild (50-70°F),0,0
2020-01-09,COAST,Houston,74.8,62.5,68.0,72.2,58.9,20.5,0.071,0.071,0.0,12.299999999999997,Mild (50-70°F),1,0
2020-01-10,COAST,Houston,75.4,67.7,70.9,72.6,66.6,22.7,0.067,0.067,0.0,7.700000000000003,Warm (70-85°F),1,0
2020-01-11,COAST,Houston,72.6,43.3,55.8,70.2,37.6,28.0,0.311,0.311,0.0,29.299999999999997,Mild (50-70°F),1,0
2020-01-12,COAST,Houston,61.0,36.8,47.7,58.5,31.5,7.0,0.0,0.0,0.0,24.200000000000003,Cold (32-50°F),0,0
2020-01-13,COAST,Houston,66.0,53.7,59.3,68.3,50.6,10.8,0.319,0.319,0.0,12.299999999999997,Mild (50-70°F),1,0
2020-01-14,COAST,Houston,76.7,65.8,70.5,79.6,69.0,12.6,1.165,1.165,0.0,10.900000000000006,Warm (70-85°F),1,0
